Date,Buying
2014-03-05,407.5811
2014-03-06,407.2474
2014-03-07,406.8648
2014-03-08,407.42315
2014-03-09,407.42315
2014-03-10,406.5162
2014-03-11,405.6452
2014-03-12,405.387
2014-03-13,404.5771
2014-03-14,404.5729
2014-03-15,405.33968
2014-03-16,405.33968
2014-03-17,403.2651
2014-03-18,402.4261
2014-03-19,401.9482
2014-03-20,400.5984
2014-03-21,399.1624
2014-03-22,401.48004000000003
2014-03-23,401.48004000000003
2014-03-24,398.7354
2014-03-25,398.1026
2014-03-26,397.7659
2014-03-27,397.7724
2014-03-28,396.9882
2014-03-29,397.8729
2014-03-30,397.8729
2014-03-31,396.0865
2014-04-01,395.0968
2014-04-02,394.0558
2014-04-03,393.6432
2014-04-04,392.9778
2014-04-05,394.37201999999996
2014-04-06,394.37201999999996
2014-04-07,392.4846
2014-04-08,392.5108
2014-04-09,392.0421
2014-04-10,390.9649
2014-04-11,390.4081
2014-04-12,391.6821
2014-04-13,391.6821
2014-04-14,389.7453
2014-04-15,389.5691
2014-04-16,388.0421
2014-04-17,387.958
2014-04-18,388.828625
2014-04-19,388.828625
2014-04-20,388.828625
2014-04-21,386.364825
2014-04-22,386.9872
2014-04-23,386.5197
2014-04-24,386.253
2014-04-25,385.6994
2014-04-26,386.364825
2014-04-27,386.364825
2014-04-28,385.5544
2014-04-29,385.2037
2014-04-30,385.8153
2014-05-01,385.576
2014-05-02,385.7306
2014-05-03,385.576
2014-05-04,385.576
2014-05-05,385.7093
2014-05-06,385.6471
2014-05-07,384.7775
2014-05-08,384.5305
2014-05-09,384.5267
2014-05-10,385.03822
2014-05-11,385.03822
2014-05-12,384.3779
2014-05-13,384.2462
2014-05-14,384.83297500000003
2014-05-15,385.3979
2014-05-16,385.3099
2014-05-17,384.83297500000003
2014-05-18,384.83297500000003
2014-05-19,385.3099
2014-05-20,385.222
2014-05-21,385.3099
2014-05-22,385.1339
2014-05-23,385.1339
2014-05-24,385.22192
2014-05-25,385.22192
2014-05-26,385.1339
2014-05-27,385.1003
2014-05-28,385.1198
2014-05-29,385.1198
2014-05-30,385.1198
2014-05-31,385.11872
2014-06-01,385.11872
2014-06-02,385.063
2014-06-03,385.063
2014-06-04,384.975
2014-06-05,384.8974
2014-06-06,384.8974
2014-06-07,384.97916
2014-06-08,384.97916
2014-06-09,384.782
2014-06-10,384.7328
2014-06-11,384.6464
2014-06-12,384.6041
2014-06-13,384.6041
2014-06-14,384.67388
2014-06-15,384.67388
2014-06-16,384.7757
2014-06-17,384.6041
2014-06-18,384.6041
2014-06-19,384.6041
2014-06-20,384.6041
2014-06-21,384.63842
2014-06-22,384.63842
2014-06-23,384.6041
2014-06-24,384.7716
2014-06-25,384.768
2014-06-26,385.0181
2014-06-27,385.0181
2014-06-28,384.83598
2014-06-29,384.83598
2014-06-30,385.3261
2014-07-01,385.0621
2014-07-02,385.0621
2014-07-03,385.0621
2014-07-04,385.5252
2014-07-05,385.20752
2014-07-06,385.20752
2014-07-07,385.737625
2014-07-08,385.5252
2014-07-09,385.772
2014-07-10,385.772
2014-07-11,385.8813
2014-07-12,385.737625
2014-07-13,385.737625
2014-07-14,385.8896
2014-07-15,385.8854
2014-07-16,385.9636
2014-07-17,386.0059
2014-07-18,386.0484
